name	town	access	lat	lng	address	source
Acoaxet Club	Westport Harbor	private	41.510646	-71.111117	152 Howland Rd	golfmassachusetts
Acushnet River Valley Golf Course	Acushnet	public	41.71223	-70.885492	685 Main St	golfmassachusetts
Agawam Municipal Golf Course	Feeding Hills	muni	42.063446	-72.676537	128 S. Wick St	golfmassachusetts
Allendale Country Club	North Dartmouth	private	41.622422	-70.963732	1047 Allen St	golfmassachusetts
Amesbury Golf & Country Club	Amesbury	semi	42.856934	-70.909836	50 Monroe St	golfmassachusetts
Amherst Golf Club	Amherst	semi	42.365517	-72.520464	365 S Pleasant St	golfmassachusetts
Andover Country Club	Andover	private	42.671926	-71.163496	60 Canterbury St	golfmassachusetts
Atlantic Country Club	Plymouth	semi	41.798379	-70.595526	450 Little Sandy Pond Rd	golfmassachusetts
Bas Ridge Golf Course	Hinsdale	public	42.44117	-73.12143	Plunkett St	golfmassachusetts
Bass River Golf Course	South Yarmouth	semi	41.672555	-70.182492	62 High Bank Rd	golfmassachusetts
Bass Rocks Golf Club	Gloucester	private	42.614961	-70.640267	27 Beach Rd	golfmassachusetts
Bay Path Golf Course	East Brookfield	public	42.228021	-72.065316	193 N Brookfield Rd	golfmassachusetts
Bay Pointe Country Club	Onset	semi	41.74408	-70.66156	Onset Ave	golfmassachusetts
Bayberry Hills Golf Club	West Yarmouth	semi	41.66545	-70.2295	West Yarmouth Rd	golfmassachusetts
Bear Hill Golf Club	Stoneham	private	42.337214	-71.031356	2 N St	golfmassachusetts
Beaver Brook Golf Club	Haydenville	public	42.381232	-72.709563	101 Main St	golfmassachusetts
Bedrock Golf Club	Rutland	public	42.335998	-71.973104	87 Barre-Paxton Rd	golfmassachusetts
Berkshire Hills Country Club	Pittsfield	private	42.47104	-73.22934	Benedict Rd	golfmassachusetts
Berlin Country Club	Berlin	public	42.405144	-71.632575	25 Carr Rd	golfmassachusetts
Beverly Golf & Tennis Club	Beverly	semi	42.564393	-70.893706	134 McKay St	golfmassachusetts
Black Swan Country Club	Georgetown	semi	42.718706	-71.012213	258 Andover St	golfmassachusetts
Blackstone National Golf Club	Sutton	public	42.116426	-71.770867	227 Putnam Hill Rd	golfmassachusetts
Blissful Meadows Golf Club	Uxbridge	semi	42.030751	-71.675329	801 Chocolog Rd	golfmassachusetts
Blue Rock Golf Course	South Yarmouth	semi	41.686403	-70.17771	48 Todd Rd	golfmassachusetts
Bradford Country Club	Bradford	public	42.749978	-71.064068	201 Chadwick Rd	golfmassachusetts
Braintree Municipal Golf Course	Braintree	muni	42.195994	-71.009565	101 Jefferson St	golfmassachusetts
Brockton Country Club	Brockton	private	42.047208	-71.024132	265 Samuel Ave	golfmassachusetts
Brookline Golf Course	Brookline	public	42.309626	-71.160824	1281 W Roxbury Pkwy	golfmassachusetts
Brookmeadow Country Club	Canton	public	42.154835	-71.17199	100 Everendon Rd	golfmassachusetts
Bungay Brook Golf Club	Bellingham	public	42.029702	-71.457445	30 Locust St	golfmassachusetts
Butter Brook Golf Club	Westford	semi	42.541597	-71.405406	157 Carlisle Road	golfmassachusetts
Butternut Farm Golf Club	Stow	public	42.429527	-71.51493	115 Wheeler Rd	golfmassachusetts
Candlewood Golf Club	Ipswich	public	42.657539	-70.822331	75 Essex Rd	golfmassachusetts
Cape Ann Golf Course	Essex	public	42.650054	-70.786895	99 John Wise Ave	golfmassachusetts
Cape Cod Country Club	North Falmouth	public	41.6471	-70.5999	Theater Rd	golfmassachusetts
Cape Cod National Golf Club	Brewster	private	41.732797	-70.004887	174 S Orleans Rd	golfmassachusetts
Captains Golf Course	Brewster	public	41.735901	-70.017853	1000 Freemans Way	golfmassachusetts
Cedar Glen Golf Club	Saugus	public	42.497007	-71.036435	60 Water St	golfmassachusetts
Cedar Hill Golf Club	Stoughton	public	42.106802	-71.069848	1137 Park St	golfmassachusetts
Charles River Country Club	Newton Centre	private	42.30684	-71.195587	483 Dedham St	golfmassachusetts
Charter Oak Country Club	Hudson	private	42.387453	-71.508737	15 Brent Dr	golfmassachusetts
Chatham Seaside Links	Chatham	public	41.685	-69.953318	209 Seaview St	golfmassachusetts
Chelmsford Country Club	Chelmsford	public	42.574187	-71.369232	66 Park Rd	golfmassachusetts
Chemawa Golf Course	North Attleboro	public	41.939205	-71.367478	350 Cushman Rd	golfmassachusetts
Chequessett Club	Wellfleet	public			Chequessett Neck Rd	local
Chequessett Yacht & Country Club	Wellfleet	semi	41.93701	-70.0358	Chequessett Neck Rd	golfmassachusetts
Cherry Hill Golf Course	North Amherst	public	42.420733	-72.527853	323 Montague Rd	golfmassachusetts
Chicopee Country Club	Chicopee	public	42.179489	-72.51889	1290 Burnett Rd	golfmassachusetts
Clearview Country Club	Millbury	public	42.211759	-71.775102	66 Park Hill Ave	golfmassachusetts
Cohasse Country Club	Southbridge	private	42.060296	-72.048561	426 East Ford Rd	golfmassachusetts
Cohasset Golf Club	Cohasset	private	42.25336	-70.84221	Lamberts Ln	golfmassachusetts
Cold Spring Country Club	Belchertown	public				local
Colonial Golf Club	Wakefield	public	42.514401	-71.041542	1 Audubon Rd	golfmassachusetts
Concord Country Club	Concord	private	42.448878	-71.379103	246 Old Nine Acre Corner Rd	golfmassachusetts
Cotuit Highground Golf	Cotuit	public	41.616925	-70.442964	31 Crockers Neck Rd	golfmassachusetts
Country Club of Billerica	Billerica	public	42.554991	-71.237381	51 Baldwin Rd	golfmassachusetts
Country Club of Greenfield	Greenfield	semi	42.621583	-72.592121	244 Country Club Rd	golfmassachusetts
Country Club of Halifax	Halifax	private	42.012218	-70.816043	1000 Country Club Dr	golfmassachusetts
Country Club of New Bedford	North Dartmouth	private	41.64323	-70.974329	585 Slocum Rd	golfmassachusetts
Country Club of Pittsfield	Pittsfield	private	42.427468	-73.259318	639 S St	golfmassachusetts
Country Club of Wilbraham	Wilbraham	semi	42.112965	-72.457071	859 Stoney Hill Rd	golfmassachusetts
Cranberry Valley Golf Course	Harwich	public	41.696455	-70.067091	183 Oak St	golfmassachusetts
Crestview Country Club	Agawam	private	42.0439	-72.65017	Shoemaker Ln	golfmassachusetts
Crosswinds Golf Club	Plymouth	public				local
Crumpin-Fox Club	Bernardston	semi	42.67366	-72.5303	Parmenter Rd	golfmassachusetts
Crystal Lake Golf Club	Haverhill	public				local
Crystal Springs Golf Club	Haverhill	semi	42.808375	-71.139563	940 N Broadway	golfmassachusetts
Cummaquid Golf Club	Yarmouth Port	private	41.7019	-70.2349	MarStos Ln	golfmassachusetts
Cyprian Keyes Golf Club	Boylston	public	42.334377	-71.722816	284 E Temple St	golfmassachusetts
D. W. Field Golf Course	Brockton	public	42.101092	-71.038669	331 Oak St	golfmassachusetts
Dedham Country & Polo Club	Dedham	private	42.247851	-71.210173	1925 Seth Raynor	golfmassachusetts
Dennis Highlands Golf Course	Dennis	public	41.73148	-70.181175	825 Old Bass River Rd	golfmassachusetts
Dunroamin Country Club	Gilbertville	semi	42.310622	-72.195568	262 Lower Rd	golfmassachusetts
Duxbury Yacht Club	Duxbury	private	42.04054	-70.68322	Harrison St	golfmassachusetts
East Mountain Country Club	Westfield	public	42.156732	-72.697204	1458 E Mountain Rd	golfmassachusetts
Easton Country Club	South Easton	semi	42.023909	-71.077481	265 Purchase St	golfmassachusetts
Eastward Ho Country Club	Chatham	private	41.716758	-69.98163	325 Fox Hill Rd	golfmassachusetts
Edgartown Golf Club	Edgartown	private	41.395516	-70.524246	71 Curtis Ln.	golfmassachusetts
Edge Hill Golf Course	Ashfield	public	42.55921	-72.78092	Barnes Rd	golfmassachusetts
Edgewood Golf Club	Auburn	public				golfmassachusetts
Edgewood Golf Course (MA)	Southwick	public				local
Egremont Country Club	Great Barrington	public	42.2103	-73.354	Route 23	golfmassachusetts
Ellinwood Country Club	Athol	semi	42.566732	-72.218944	1928 Pleasant St	golfmassachusetts
Essex County Club	Manchester-by-the-Sea	private	42.57542	-70.771721	School St	golfmassachusetts
Evergreen Valley Golf Course	Newburyport	public	42.825692	-70.90807	18 Boyd Dr	golfmassachusetts
Fall River Country Club	Fall River	private	41.753138	-71.120628	4232 N Main St	golfmassachusetts
Falmouth Country Club	East Falmouth	public	41.599525	-70.552803	630 Carriage Shop Rd	golfmassachusetts
Far Corner Golf Course	West Boxford	public	42.734188	-71.083412	5 Barker Road	golfmassachusetts
Farm Neck Golf Club	Oak Bluffs	semi	41.43488	-70.57004	Farm Neck Way	golfmassachusetts
Ferncroft Country Club	Middleton	private	42.60114	-70.974903	10 Village Road	golfmassachusetts
Firefly Golf Course	Seekonk	public	41.818795	-71.338807	320 Fall River Ave	golfmassachusetts
Fore Kicks Golf & Indoor Sports Complex	Norfolk	public	42.090468	-71.297517	10 Pine St	golfmassachusetts
Forest Park Country Club	Adams	public	42.6209	-73.12524	Forest Park Ave	golfmassachusetts
Four Oaks Country Club	Dracut	private	42.6854209	-71.2967719	80 Meadow Creek Drive	golfmassachusetts
Foxborough Country Club	Foxborough	semi	42.04619	-71.250279	33 Walnut St	golfmassachusetts
Framingham Country Club	Framingham	private	42.29288	-71.47062	Gates St	golfmassachusetts
