Agawam Municipal Golf Course	Agawam
Allendale Country Club	Dartmouth
Amherst Golf Club	Amherst
Bay Pointe Club	Buzzards Bay
Beverly Golf & Tennis Club	Beverly
Black Swan Country Club	Georgetown
Blissful Meadows Golf Club	Uxbridge
Braintree Municipal Golf Course	Braintree
The Brookside Club	Bourne
Butter Brook Golf Club	Westford
Cape Cod Country Club	East Falmouth
Captains Golf Course	Brewster
Chelmsford Country Club	Chelmsford
Country Club of Billerica	Billerica
Cherry Hill Golf Course	Amherst
Cranberry Valley Golf Course	Harwich
Crosswinds Golf Club	Plymouth
Crystal Lake Golf Club	Haverhill
D.W. Field Golf Course	Brockton
East Mountain Country Club	Westfield
Easton Country Club	South Easton
Ellinwood Country Club	Athol
Falmouth Country Club	East Falmouth
Farm Neck Golf Club	Oak Bluffs
Forest Park Country Club	Adams
Gannon Municipal Golf Course	Lynn
Gardner Municipal Golf Course	Gardner
Granite Links Golf Club	Quincy
Heather Hill Country Club	Plainville
Heritage Country Club	Charlton
Highland Links	Truro
Hillview Golf Club	North Reading
Holly Ridge Golf Course	Sandwich
Hyannis Golf Course	Hyannis
John F. Parker Golf Course	Taunton
Juniper Hill Golf Course	Northborough
Kelley Greens Golf Course	Nahant
Kettle Brook Golf Club	Paxton
Kings Way Golf Club	Yarmouthport
Lakeville Country Club	Lakeville
Ledges Golf Club	South Hadley
Little Harbor Golf Club	Wareham
Maynard Golf Course	Maynard
Merrimack Valley Golf Course	Methuen
Miacomet Golf Course	Nantucket
Mount Hood Golf Course	Melrose
New England Country Club	Bellingham
New Meadows Golf Club	Topsfield
Newton Commonwealth Golf Course	Newton
Norton Country Club	Norton
Norwood Country Club	Norwood
Olde Barnstable Fairgrounds Golf Course	Marstons Mills
Olde Salem Greens Golf Course	Salem
Olde Scotland Links	Bridgewater
Paul Harney Golf Club	Falmouth
Pinehills Golf Club	Plymouth
Pinecrest Golf Club	Holliston
Ponkapoag Golf Club	Canton
Presidents Golf Course	Quincy
Quaboag Country Club	Monson
Quashnet Valley Country Club	Mashpee
Red Tail Golf Club	Devens
Rockland Golf Course	Rockland
Rowley Country Club	Rowley
Sandwich Hollows Golf Club	Sandwich
Sandy Burr Country Club	Wayland
Shining Rock Golf Club	Northbridge
Southampton Country Club	Southampton
Southborough Golf Club	Southborough
Stow Acres Country Club	Stow
St. Anne Country Club	Feeding Hills
Stoneham Oaks Golf Course	Stoneham
Swansea Country Club	Swansea
Tekoa Country Club	Westfield
Unicorn Golf Course	Stoneham
Waverly Oaks Golf Club	Plymouth
West Bridgewater Country Club	West Bridgewater
Westover Golf Course	Granby
Woburn Country Club	Woburn
South Shore Country Club	Hingham
Crumpin-Fox Club	Bernardston
The Ranch Golf Club	Southwick
Acushnet River Valley Golf Course	Acushnet
The Cape Club	North Falmouth
Ledgemont Country Club	Seekonk
Chicopee Country Club	Chicopee
Cold Spring Country Club	Belchertown
Cyprian Keyes Golf Club	Boylston
Highfields Golf & Country Club	Grafton
Lexington Golf Club	Lexington
Andover Country Club	Andover
Stone-E-Lea Golf Course	Attleboro
Bradford Country Club	Bradford
Townsend Ridge Country Club	Townsend
